RecordId,ClosedYear,MonthOccurrence,County,NCIC,TotalNumberOfVictims,TotalNumberOfIndividualVictims,SuspectsRaceAsAGroup,TotalNumberOfSuspects,MostSeriousUcr,MostSeriousUcrType,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType,MostSeriousVictimType,WeaponType,Offensive_Act,IsMultipleBias,TotalNumberOfIndividualVictimsAdult,TotalNumberOfIndividualVictimsJuvenile,TotalNumberOfSuspectsAdult,TotalNumberOfSuspectsJuvenile,SuspectsEthnicityAsAGroup
CA00-0000025834,2012,1,19,1942,1,1,Hispanic,1,Simple Assault,Violent Crimes,School-Elementary/Secondary,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025840,2012,1,19,1942,2,2,Hispanic,2,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Handgun,Other,,,,,,
CA00-0000025841,2012,1,19,1942,1,1,Hispanic,1,Simple Assault,Violent Crimes,School-Elementary/Secondary,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025842,2012,1,38,3801,1,1,Black or African American,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,
CA00-0000025843,2012,1,38,3801,1,1,Hispanic,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,
CA00-0000025844,2012,1,38,3801,1,1,Black or African American,3,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025845,2012,1,38,3801,1,1,Black or African American,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,
CA00-0000025846,2012,1,56,5600,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025847,2012,1,30,3010,1,1,Unknown,0,Intimidation,Violent Crimes,Commercial/Office Building,Anti-Gay (Male),Sexual Orientation,Person,,Annoying telephone calls/fax,,,,,,
CA00-0000025848,2012,1,30,3019,1,0,Hispanic,3,Larceny-Theft,Property Crimes,Commercial/Office Building,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Business,"Arson, fire",Other,,,,,,
CA00-0000025849,2012,1,19,1942,1,1,Unknown,1,Destruction/Damage/Vandalism,Property Crimes,School-Elementary/Secondary,Anti-Jewish,Religion,Person,"Other (bottle, rocks, spitting)",Damage to vehicle,,,,,,
CA00-0000025851,2012,1,37,3710,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Commercial/Office Building,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,,Daubing of swastika,,,,,,
CA00-0000025853,2012,1,37,3703,1,1,Unknown,0,Intimidation,Violent Crimes,Other/Unknown,Anti-Jewish,Religion,Person,,Annoying telephone calls/fax,,,,,,
CA00-0000025857,2012,2,4,402,1,1,Unknown,0,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000025859,2012,1,24,2406,1,1,White,1,Robbery,Violent Crimes,Commercial/Office Building,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000025860,2012,1,37,3700,1,1,White,2,Intimidation,Violent Crimes,School-Elementary/Secondary,Anti-Islamic (Muslim),Religion,Person,,Verbal slurs,,,,,,
CA00-0000025861,2012,1,54,5407,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School-Elementary/Secondary,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Damage to vehicle,,,,,,
CA00-0000025863,2012,2,30,3010,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025864,2012,2,38,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Abandoned/Condemned Structure,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000025865,2012,1,19,1900,1,1,Black or African American,2,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,,Verbal slurs,,,,,,
CA00-0000025866,2012,1,19,1900,1,1,Black or African American,2,Robbery,Violent Crimes,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Graffiti,,,,,,
CA00-0000025867,2012,1,19,1900,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Jewish,Religion,Person,,Damage to vehicle,,,,,,
CA00-0000025868,2012,1,40,4006,1,1,Unknown,3,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000025869,2012,1,19,191R,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000025870,2012,1,19,191R,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Shopping Mall,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,,Damage to vehicle,,,,,,
CA00-0000025871,2012,1,19,191R,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,,Damage to vehicle,,,,,,
CA00-0000025872,2012,1,19,1900,1,1,Hispanic,1,Robbery,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025873,2012,1,19,1900,1,1,Hispanic,2,Aggravated Assault,Violent Crimes,Grocery/Supermarket,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025874,2012,1,19,191H,2,2,White,1,Aggravated Assault,Violent Crimes,Bar/Night Club,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Other (bottle, rocks, spitting)",Other,,,,,,
CA00-0000025875,2012,1,56,5609,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,
CA00-0000025876,2012,1,56,5609,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,Unknown,Damage to vehicle,,,,,,
CA00-0000025877,2012,1,56,5609,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Jewish,Religion,Government,,Daubing of swastika,,,,,,
CA00-0000025878,2012,1,19,1942,3,3,White,2,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000025882,2012,1,19,1942,1,1,Black or African American,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000025883,2012,1,37,3711,1,1,Asian/Pacific Islander,1,Simple Assault,Violent Crimes,Park/Playground,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025884,2012,1,37,3711,1,1,White,2,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025885,2012,1,37,3711,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,
CA00-0000025886,2012,1,37,3711,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,
CA00-0000025887,2012,1,34,3404,1,1,White,1,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025888,2012,1,37,3711,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Other/Unknown,Anti-Jewish,Religion,Religious,,Verbal slurs,,,,,,
CA00-0000025889,2012,2,19,1942,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Jewish,Religion,Person,,Graffiti,,,,,,
CA00-0000025890,2012,1,19,1942,1,1,Black or African American,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000025891,2012,1,43,4302,1,1,Black or African American,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,
